CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347,2,7,4310.0,3,Champions
12349,19,1,1757.55,0,New / Occasional
12350,310,1,334.4,1,Hibernating
12353,204,1,89.0,1,Hibernating
12354,232,1,1079.4,1,Hibernating
12355,214,1,459.4,1,Hibernating
12356,23,3,2811.43,2,Loyal Customers
12358,2,2,1168.06,0,New / Occasional
12359,58,4,6310.03,2,Loyal Customers
12361,287,1,189.9,1,Hibernating
12363,110,2,552.0,1,Hibernating
12364,8,4,1313.1,0,New / Occasional
12365,291,2,641.38,1,Hibernating
12367,4,1,168.9,0,New / Occasional
12370,51,4,3541.94,2,Loyal Customers
12373,311,1,364.6,1,Hibernating
12374,25,1,742.9300000000001,0,New / Occasional
12377,315,2,1628.12,2,Loyal Customers
12378,130,1,4008.62,2,Loyal Customers
12379,82,2,852.24,2,Loyal Customers
12381,5,5,1845.31,3,Champions
12386,338,2,401.9,1,Hibernating
12388,16,6,2780.66,3,Champions
12390,80,1,549.84,1,Hibernating
12391,22,1,439.66,0,New / Occasional
12393,72,4,1582.6000000000001,2,Loyal Customers
12394,64,2,1272.48,2,Loyal Customers
12395,19,12,3018.63,3,Champions
12397,36,2,2409.9,2,Loyal Customers
12398,46,1,1635.6599999999999,2,Loyal Customers
12399,119,4,1108.65,2,Loyal Customers
12401,303,1,84.3,1,Hibernating
12402,323,1,225.6,1,Hibernating
12403,50,1,427.7,1,Hibernating
12405,149,1,1710.39,1,Hibernating
12406,22,2,3415.3,2,Loyal Customers
12407,50,5,1708.1200000000001,2,Loyal Customers
12409,79,3,11072.67,2,Loyal Customers
12410,309,2,693.3299999999999,1,Hibernating
12412,75,3,1226.88,2,Loyal Customers
12413,67,3,758.1,2,Loyal Customers
12415,24,21,124914.53,3,Champions
12417,3,9,3649.1,3,Champions
12418,113,1,668.58,1,Hibernating
12421,16,4,807.04,0,New / Occasional
12422,96,3,803.5600000000001,2,Loyal Customers
12423,1,8,1859.31,3,Champions
12425,78,1,777.2,1,Hibernating
12427,22,3,825.8,0,New / Occasional
12428,26,9,7956.46,3,Champions
12429,9,4,3750.4,3,Champions
12430,43,1,256.4,1,Hibernating
12432,43,5,5059.32,2,Loyal Customers
12433,1,7,13375.87,3,Champions
12434,85,2,806.14,2,Loyal Customers
12435,80,2,7829.89,2,Loyal Customers
12436,100,1,509.01,1,Hibernating
12437,2,18,4951.41,3,Champions
12438,14,2,2906.85,2,Loyal Customers
12441,367,1,173.55,1,Hibernating
12444,21,5,5005.46,2,Loyal Customers
12445,22,1,133.4,0,New / Occasional
12446,58,1,1002.3100000000001,1,Hibernating
12448,44,1,449.45,1,Hibernating
12450,156,2,197.88,1,Hibernating
12451,11,5,9035.52,3,Champions
12453,134,1,707.09,1,Hibernating
12455,73,6,2466.86,2,Loyal Customers
12456,44,3,3181.04,2,Loyal Customers
12457,66,7,2363.23,2,Loyal Customers
12461,94,2,826.88,2,Loyal Customers
12463,53,4,1344.78,2,Loyal Customers
12464,10,8,1212.05,3,Champions
12465,17,2,742.1899999999999,0,New / Occasional
12468,188,2,729.5400000000001,1,Hibernating
12471,2,30,19788.65,3,Champions
12472,32,7,6572.11,3,Champions
12473,29,5,3928.0499999999997,2,Loyal Customers
12474,17,18,7324.09,3,Champions
12475,54,1,723.38,1,Hibernating
12477,23,6,13219.74,3,Champions
12478,4,1,680.99,0,New / Occasional
12481,23,10,5579.82,3,Champions
12483,17,8,2484.98,3,Champions
12484,33,6,4527.32,2,Loyal Customers
12488,10,3,1298.66,0,New / Occasional
12489,336,1,334.93,1,Hibernating
12491,39,1,460.40000000000003,0,New / Occasional
12493,166,2,433.74,1,Hibernating
12494,16,7,1246.1000000000001,2,Loyal Customers
12497,82,1,1043.1,1,Hibernating
12498,21,3,403.70000000000005,0,New / Occasional
12501,337,1,2169.39,1,Hibernating
12504,18,2,482.04999999999995,0,New / Occasional
12506,233,1,73.5,1,Hibernating
12507,134,3,1304.81,2,Loyal Customers
12508,26,2,397.88,0,New / Occasional
12510,143,2,982.5699999999999,2,Loyal Customers
12512,66,2,132.18,1,Hibernating
12514,267,1,1017.68,1,Hibernating
12515,353,1,383.7,1,Hibernating
12516,78,2,1312.06,2,Loyal Customers
12517,28,5,2481.6,2,Loyal Customers
12518,1,5,2056.89,3,Champions
12520,79,5,2634.26,2,Loyal Customers
12521,143,1,599.68,1,Hibernating
12522,39,2,192.72,0,New / Occasional
12523,19,11,1789.77,3,Champions
12524,9,8,4485.72,3,Champions
12526,1,3,1316.66,0,New / Occasional
12528,9,6,1933.48,3,Champions
12530,60,4,1662.28,2,Loyal Customers
12531,15,1,125.22,0,New / Occasional
12532,30,1,349.83000000000004,0,New / Occasional
12534,131,1,1089.18,1,Hibernating
12535,92,2,716.35,1,Hibernating
12538,29,1,363.95,0,New / Occasional
12539,22,4,5568.35,2,Loyal Customers
12540,20,17,13400.24,3,Champions
12545,75,2,1000.39,2,Loyal Customers
12546,47,2,1161.5,2,Loyal Customers
12547,198,2,207.79999999999998,1,Hibernating
12548,166,1,95.19999999999999,1,Hibernating
12550,79,1,964.83,1,Hibernating
12551,358,1,168.0,1,Hibernating
12556,50,2,599.56,0,New / Occasional
12557,16,5,11990.960000000001,3,Champions
12558,8,1,269.96,0,New / Occasional
12559,311,2,561.71,1,Hibernating
12560,5,3,2134.01,0,New / Occasional
12562,8,7,3781.7400000000002,3,Champions
12564,261,1,456.9,1,Hibernating
12565,289,1,145.92,1,Hibernating
12566,86,1,351.65,1,Hibernating
12567,23,10,9401.28,3,Champions
12569,2,32,4124.69,3,Champions
